	sequences per sample	iteration	sample02	sample03
alpha_rarefaction_10_0.txt	10	0	0.25779	0.07095
alpha_rarefaction_10_1.txt	10	1	0.07095	0.21502
alpha_rarefaction_10_2.txt	10	2	0.21174	0.07095
alpha_rarefaction_10_3.txt	10	3	0.07095	0.07095
alpha_rarefaction_10_4.txt	10	4	0.17362	0.07095
alpha_rarefaction_10_5.txt	10	5	0.07095	0.30081
alpha_rarefaction_10_6.txt	10	6	0.118	0.07095
alpha_rarefaction_10_7.txt	10	7	0.17362	0.12025
alpha_rarefaction_10_8.txt	10	8	0.07095	0.07095
alpha_rarefaction_10_9.txt	10	9	0.07095	0.20129
alpha_rarefaction_111045_0.txt	111045	0	55.03864	56.16132
alpha_rarefaction_111045_1.txt	111045	1	53.87098	57.09467
alpha_rarefaction_111045_2.txt	111045	2	53.03937	57.07728
alpha_rarefaction_111045_3.txt	111045	3	54.65921	58.83195
alpha_rarefaction_111045_4.txt	111045	4	54.05558	55.58705
alpha_rarefaction_111045_5.txt	111045	5	51.82444	55.0696
alpha_rarefaction_111045_6.txt	111045	6	53.07459	56.54297
alpha_rarefaction_111045_7.txt	111045	7	52.13939	57.41582
alpha_rarefaction_111045_8.txt	111045	8	51.67989	55.57477
alpha_rarefaction_111045_9.txt	111045	9	56.17731	56.16205
alpha_rarefaction_222080_0.txt	222080	0	69.11188	71.57398
alpha_rarefaction_222080_1.txt	222080	1	68.56797	70.04184
alpha_rarefaction_222080_2.txt	222080	2	68.77064	72.77101
alpha_rarefaction_222080_3.txt	222080	3	68.27677	71.52335
alpha_rarefaction_222080_4.txt	222080	4	68.51288	71.33027
alpha_rarefaction_222080_5.txt	222080	5	71.65646	71.26783
alpha_rarefaction_222080_6.txt	222080	6	69.47533	70.1768
alpha_rarefaction_222080_7.txt	222080	7	70.74649	72.23546
alpha_rarefaction_222080_8.txt	222080	8	66.97766	69.71485
alpha_rarefaction_222080_9.txt	222080	9	70.24728	70.24157
alpha_rarefaction_333115_0.txt	333115	0	77.83243	82.19305
alpha_rarefaction_333115_1.txt	333115	1	78.37519	81.7635
alpha_rarefaction_333115_2.txt	333115	2	78.22347	80.53533
alpha_rarefaction_333115_3.txt	333115	3	77.95291	79.28697
alpha_rarefaction_333115_4.txt	333115	4	78.44989	80.8056
alpha_rarefaction_333115_5.txt	333115	5	76.86005	80.84905
alpha_rarefaction_333115_6.txt	333115	6	79.3106	79.84198
alpha_rarefaction_333115_7.txt	333115	7	79.33663	79.73946
alpha_rarefaction_333115_8.txt	333115	8	78.50314	78.63083
alpha_rarefaction_333115_9.txt	333115	9	79.00107	80.26554
alpha_rarefaction_444150_0.txt	444150	0	85.0089	85.90695
alpha_rarefaction_444150_1.txt	444150	1	86.33632	86.89201
alpha_rarefaction_444150_2.txt	444150	2	85.39906	85.35914
alpha_rarefaction_444150_3.txt	444150	3	84.73669	86.00789
alpha_rarefaction_444150_4.txt	444150	4	85.31951	86.59946
alpha_rarefaction_444150_5.txt	444150	5	85.75555	83.79275
alpha_rarefaction_444150_6.txt	444150	6	84.19435	87.23068
alpha_rarefaction_444150_7.txt	444150	7	84.75206	86.01549
alpha_rarefaction_444150_8.txt	444150	8	85.08215	88.02324
alpha_rarefaction_444150_9.txt	444150	9	85.99619	87.89884
alpha_rarefaction_555185_0.txt	555185	0	88.50354	89.83643
alpha_rarefaction_555185_1.txt	555185	1	90.39747	90.90012
alpha_rarefaction_555185_2.txt	555185	2	90.49398	92.21726
alpha_rarefaction_555185_3.txt	555185	3	89.95872	91.10738
alpha_rarefaction_555185_4.txt	555185	4	90.82072	91.90003
alpha_rarefaction_555185_5.txt	555185	5	89.09972	91.57272
alpha_rarefaction_555185_6.txt	555185	6	90.56785	91.48645
alpha_rarefaction_555185_7.txt	555185	7	89.67347	91.98218
alpha_rarefaction_555185_8.txt	555185	8	90.68644	90.9946
alpha_rarefaction_555185_9.txt	555185	9	91.15538	90.95101
alpha_rarefaction_666220_0.txt	666220	0	93.37089	94.641
alpha_rarefaction_666220_1.txt	666220	1	95.06464	94.75446
alpha_rarefaction_666220_2.txt	666220	2	94.73916	93.6091
alpha_rarefaction_666220_3.txt	666220	3	93.44859	93.66072
alpha_rarefaction_666220_4.txt	666220	4	93.32198	93.90144
alpha_rarefaction_666220_5.txt	666220	5	93.08442	94.56922
alpha_rarefaction_666220_6.txt	666220	6	93.72346	93.82913
alpha_rarefaction_666220_7.txt	666220	7	94.15592	95.38158
alpha_rarefaction_666220_8.txt	666220	8	94.39527	93.11776
alpha_rarefaction_666220_9.txt	666220	9	94.33397	93.88253
alpha_rarefaction_777255_0.txt	777255	0	98.12261	95.05498
alpha_rarefaction_777255_1.txt	777255	1	97.61087	96.47077
alpha_rarefaction_777255_2.txt	777255	2	97.13872	96.90011
alpha_rarefaction_777255_3.txt	777255	3	97.45929	97.22834
alpha_rarefaction_777255_4.txt	777255	4	95.98788	96.17024
alpha_rarefaction_777255_5.txt	777255	5	97.07842	96.30548
alpha_rarefaction_777255_6.txt	777255	6	96.43198	96.71109
alpha_rarefaction_777255_7.txt	777255	7	97.21266	96.20672
alpha_rarefaction_777255_8.txt	777255	8	96.72653	96.55136
alpha_rarefaction_777255_9.txt	777255	9	97.57344	96.15852
alpha_rarefaction_888290_0.txt	888290	0	98.56786	98.87069
alpha_rarefaction_888290_1.txt	888290	1	99.14707	99.00782
alpha_rarefaction_888290_2.txt	888290	2	99.97484	99.27606
alpha_rarefaction_888290_3.txt	888290	3	99.09678	98.55053
alpha_rarefaction_888290_4.txt	888290	4	100.3946	98.38664
alpha_rarefaction_888290_5.txt	888290	5	99.14413	97.95746
alpha_rarefaction_888290_6.txt	888290	6	100.48225	98.95796
alpha_rarefaction_888290_7.txt	888290	7	99.59474	98.35876
alpha_rarefaction_888290_8.txt	888290	8	98.84696	98.88845
alpha_rarefaction_888290_9.txt	888290	9	99.47002	97.96704
alpha_rarefaction_999325_0.txt	999325	0	101.44206	99.95555
alpha_rarefaction_999325_1.txt	999325	1	101.49869	99.47111
alpha_rarefaction_999325_2.txt	999325	2	101.61304	100.09188
alpha_rarefaction_999325_3.txt	999325	3	102.33263	100.11415
alpha_rarefaction_999325_4.txt	999325	4	101.2129	99.94788
alpha_rarefaction_999325_5.txt	999325	5	101.83171	100.8545
alpha_rarefaction_999325_6.txt	999325	6	102.0194	99.2123
alpha_rarefaction_999325_7.txt	999325	7	100.67472	100.28731
alpha_rarefaction_999325_8.txt	999325	8	101.40608	100.22294
alpha_rarefaction_999325_9.txt	999325	9	101.27898	100.66359
alpha_rarefaction_1110360_0.txt	1110360	0	103.2686	101.49679
alpha_rarefaction_1110360_1.txt	1110360	1	103.2686	101.5336
alpha_rarefaction_1110360_2.txt	1110360	2	103.2686	100.80773
alpha_rarefaction_1110360_3.txt	1110360	3	103.2686	101.67303
alpha_rarefaction_1110360_4.txt	1110360	4	103.2686	101.28499
alpha_rarefaction_1110360_5.txt	1110360	5	103.2686	100.96025
alpha_rarefaction_1110360_6.txt	1110360	6	103.2686	101.16648
alpha_rarefaction_1110360_7.txt	1110360	7	103.2686	100.71615
alpha_rarefaction_1110360_8.txt	1110360	8	103.2686	101.4546
alpha_rarefaction_1110360_9.txt	1110360	9	103.2686	101.28555
