	sequences per sample	iteration	sample02	sample03
alpha_rarefaction_10_0.txt	10	0	4.0	1.0
alpha_rarefaction_10_1.txt	10	1	1.0	4.0
alpha_rarefaction_10_2.txt	10	2	4.0	1.0
alpha_rarefaction_10_3.txt	10	3	1.0	1.0
alpha_rarefaction_10_4.txt	10	4	2.0	1.0
alpha_rarefaction_10_5.txt	10	5	1.0	7.0
alpha_rarefaction_10_6.txt	10	6	2.0	1.0
alpha_rarefaction_10_7.txt	10	7	2.0	2.0
alpha_rarefaction_10_8.txt	10	8	1.0	1.0
alpha_rarefaction_10_9.txt	10	9	1.0	2.0
alpha_rarefaction_111045_0.txt	111045	0	2503.33333333	2590.75098814
alpha_rarefaction_111045_1.txt	111045	1	2742.02173913	2525.57509158
alpha_rarefaction_111045_2.txt	111045	2	2770.0	2756.51136364
alpha_rarefaction_111045_3.txt	111045	3	2440.76653696	2635.03703704
alpha_rarefaction_111045_4.txt	111045	4	2628.58139535	2652.22519084
alpha_rarefaction_111045_5.txt	111045	5	2448.49011858	2714.30522088
alpha_rarefaction_111045_6.txt	111045	6	2719.82051282	2556.70212766
alpha_rarefaction_111045_7.txt	111045	7	2567.58467742	2669.01185771
alpha_rarefaction_111045_8.txt	111045	8	2396.96934866	2461.0
alpha_rarefaction_111045_9.txt	111045	9	2602.52380952	2520.47080292
alpha_rarefaction_222080_0.txt	222080	0	3196.54874652	3232.89945652
alpha_rarefaction_222080_1.txt	222080	1	3260.37606838	2959.475
alpha_rarefaction_222080_2.txt	222080	2	3259.35588235	3068.39904988
alpha_rarefaction_222080_3.txt	222080	3	3144.59183673	2969.41504854
alpha_rarefaction_222080_4.txt	222080	4	3293.01694915	3121.59390863
alpha_rarefaction_222080_5.txt	222080	5	3313.51226158	3039.55527638
alpha_rarefaction_222080_6.txt	222080	6	3322.00298507	3055.60253165
alpha_rarefaction_222080_7.txt	222080	7	3227.5972973	3288.98319328
alpha_rarefaction_222080_8.txt	222080	8	3127.60857909	2958.14179104
alpha_rarefaction_222080_9.txt	222080	9	3271.07977208	3034.56926952
alpha_rarefaction_333115_0.txt	333115	0	3481.9011236	3470.921875
alpha_rarefaction_333115_1.txt	333115	1	3293.04525862	3376.57630979
alpha_rarefaction_333115_2.txt	333115	2	3466.53125	3389.09803922
alpha_rarefaction_333115_3.txt	333115	3	3454.30681818	3299.46460177
alpha_rarefaction_333115_4.txt	333115	4	3491.73348519	3274.98461538
alpha_rarefaction_333115_5.txt	333115	5	3424.53097345	3517.09706546
alpha_rarefaction_333115_6.txt	333115	6	3635.56351039	3198.6798419
alpha_rarefaction_333115_7.txt	333115	7	3608.63157895	3265.38105263
alpha_rarefaction_333115_8.txt	333115	8	3552.3202765	3283.34304933
alpha_rarefaction_333115_9.txt	333115	9	3371.93952484	3302.26666667
alpha_rarefaction_444150_0.txt	444150	0	3664.3029703	3466.52941176
alpha_rarefaction_444150_1.txt	444150	1	3729.01945525	3569.742
