	sequences per sample	iteration	sample02	sample03
alpha_rarefaction_10_0.txt	10	0	3.0	1.0
alpha_rarefaction_10_1.txt	10	1	1.0	3.0
alpha_rarefaction_10_2.txt	10	2	3.0	1.0
alpha_rarefaction_10_3.txt	10	3	1.0	1.0
alpha_rarefaction_10_4.txt	10	4	2.0	1.0
alpha_rarefaction_10_5.txt	10	5	1.0	4.0
alpha_rarefaction_10_6.txt	10	6	2.0	1.0
alpha_rarefaction_10_7.txt	10	7	2.0	2.0
alpha_rarefaction_10_8.txt	10	8	1.0	1.0
alpha_rarefaction_10_9.txt	10	9	1.0	2.0
alpha_rarefaction_111045_0.txt	111045	0	1430.0	1510.0
alpha_rarefaction_111045_1.txt	111045	1	1438.0	1524.0
alpha_rarefaction_111045_2.txt	111045	2	1447.0	1561.0
alpha_rarefaction_111045_3.txt	111045	3	1428.0	1564.0
alpha_rarefaction_111045_4.txt	111045	4	1448.0	1531.0
alpha_rarefaction_111045_5.txt	111045	5	1414.0	1516.0
alpha_rarefaction_111045_6.txt	111045	6	1448.0	1542.0
alpha_rarefaction_111045_7.txt	111045	7	1432.0	1538.0
alpha_rarefaction_111045_8.txt	111045	8	1408.0	1541.0
alpha_rarefaction_111045_9.txt	111045	9	1458.0	1536.0
alpha_rarefaction_222080_0.txt	222080	0	2019.0	2109.0
alpha_rarefaction_222080_1.txt	222080	1	2027.0	2068.0
alpha_rarefaction_222080_2.txt	222080	2	1997.0	2116.0
alpha_rarefaction_222080_3.txt	222080	3	1973.0	2108.0
alpha_rarefaction_222080_4.txt	222080	4	2025.0	2113.0
alpha_rarefaction_222080_5.txt	222080	5	2054.0	2105.0
alpha_rarefaction_222080_6.txt	222080	6	2013.0	2103.0
alpha_rarefaction_222080_7.txt	222080	7	2050.0	2133.0
alpha_rarefaction_222080_8.txt	222080	8	2009.0	2069.0
alpha_rarefaction_222080_9.txt	222080	9	2043.0	2102.0
alpha_rarefaction_333115_0.txt	333115	0	2384.0	2490.0
alpha_rarefaction_333115_1.txt	333115	1	2378.0	2453.0
alpha_rarefaction_333115_2.txt	333115	2	2411.0	2490.0
alpha_rarefaction_333115_3.txt	333115	3	2395.0	2436.0
alpha_rarefaction_333115_4.txt	333115	4	2399.0	2448.0
alpha_rarefaction_333115_5.txt	333115	5	2404.0	2478.0
alpha_rarefaction_333115_6.txt	333115	6	2433.0	2467.0
alpha_rarefaction_333115_7.txt	333115	7	2438.0	2453.0
alpha_rarefaction_333115_8.txt	333115	8	2406.0	2426.0
alpha_rarefaction_333115_9.txt	333115	9	2386.0	2433.0
alpha_rarefaction_444150_0.txt	444150	0	2689.0	2698.0
alpha_rarefaction_444150_1.txt	444150	1	2710.0	2748.0
alpha_rarefaction_444150_2.txt	444150	2	2657.0	2718.0
alpha_rarefaction_444150_3.txt	444150	3	2669.0	2715.0
alpha_rarefaction_444150_4.txt	444150	4	2676.0	2702.0
alpha_rarefaction_444150_5.txt	444150	5	2703.0	2682.0
alpha_rarefaction_444150_6.txt	444150	6	2684.0	2703.0
alpha_rarefaction_444150_7.txt	444150	7	2625.0	2710.0
alpha_rarefaction_444150_8.txt	444150	8	2677.0	2744.0
alpha_rarefaction_444150_9.txt	444150	9	2707.0	2765.0
alpha_rarefaction_555185_0.txt	555185	0	2862.0	2884.0
alpha_rarefaction_555185_1.txt	555185	1	2905.0	2873.0
alpha_rarefaction_555185_2.txt	555185	2	2906.0	2953.0
alpha_rarefaction_555185_3.txt	555185	3	2902.0	2929.0
alpha_rarefaction_555185_4.txt	555185	4	2896.0	2898.0
alpha_rarefaction_555185_5.txt	555185	5	2871.0	2895.0
alpha_rarefaction_555185_6.txt	555185	6	2936.0	2916.0
alpha_rarefaction_555185_7.txt	555185	7	2895.0	2921.0
alpha_rarefaction_555185_8.txt	555185	8	2912.0	2901.0
alpha_rarefaction_555185_9.txt	555185	9	2914.0	2921.0
alpha_rarefaction_666220_0.txt	666220	0	3086.0	3067.0
alpha_rarefaction_666220_1.txt	666220	1	3086.0	3079.0
alpha_rarefaction_666220_2.txt	666220	2	3077.0	3071.0
alpha_rarefaction_666220_3.txt	666220	3	3056.0	3060.0
alpha_rarefaction_666220_4.txt	666220	4	3066.0	3037.0
alpha_rarefaction_666220_5.txt	666220	5	3064.0	3061.0
alpha_rarefaction_666220_6.txt	666220	6	3074.0	3052.0
alpha_rarefaction_666220_7.txt	666220	7	3076.0	3067.0
alpha_rarefaction_666220_8.txt	666220	8	3084.0	3048.0
alpha_rarefaction_666220_9.txt	666220	9	3074.0	3042.0
alpha_rarefaction_777255_0.txt	777255	0	3209.0	3142.0
alpha_rarefaction_777255_1.txt	777255	1	3233.0	3186.0
alpha_rarefaction_777255_2.txt	777255	2	3202.0	3177.0
alpha_rarefaction_777255_3.txt	777255	3	3219.0	3168.0
alpha_rarefaction_777255_4.txt	777255	4	3209.0	3175.0
alpha_rarefaction_777255_5.txt	777255	5	3218.0	3177.0
alpha_rarefaction_777255_6.txt	777255	6	3192.0	3177.0
alpha_rarefaction_777255_7.txt	777255	7	3215.0	3176.0
alpha_rarefaction_777255_8.txt	777255	8	3227.0	3180.0
alpha_rarefaction_777255_9.txt	777255	9	3210.0	3163.0
alpha_rarefaction_888290_0.txt	888290	0	3305.0	3275.0
alpha_rarefaction_888290_1.txt	888290	1	3302.0	3276.0
alpha_rarefaction_888290_2.txt	888290	2	3328.0	3254.0
alpha_rarefaction_888290_3.txt	888290	3	3314.0	3258.0
alpha_rarefaction_888290_4.txt	888290	4	3346.0	3255.0
alpha_rarefaction_888290_5.txt	888290	5	3330.0	3254.0
alpha_rarefaction_888290_6.txt	888290	6	3327.0	3284.0
alpha_rarefaction_888290_7.txt	888290	7	3324.0	3255.0
alpha_rarefaction_888290_8.txt	888290	8	3310.0	3258.0
alpha_rarefaction_888290_9.txt	888290	9	3311.0	3259.0
alpha_rarefaction_999325_0.txt	999325	0	3435.0	3324.0
alpha_rarefaction_999325_1.txt	999325	1	3422.0	3327.0
alpha_rarefaction_999325_2.txt	999325	2	3422.0	3338.0
alpha_rarefaction_999325_3.txt	999325	3	3431.0	3329.0
alpha_rarefaction_999325_4.txt	999325	4	3419.0	3343.0
alpha_rarefaction_999325_5.txt	999325	5	3444.0	3344.0
alpha_rarefaction_999325_6.txt	999325	6	3427.0	3324.0
alpha_rarefaction_999325_7.txt	999325	7	3416.0	3341.0
alpha_rarefaction_999325_8.txt	999325	8	3421.0	3348.0
alpha_rarefaction_999325_9.txt	999325	9	3419.0	3337.0
alpha_rarefaction_1110360_0.txt	1110360	0	3500.0	3394.0
alpha_rarefaction_1110360_1.txt	1110360	1	3500.0	3398.0
alpha_rarefaction_1110360_2.txt	1110360	2	3500.0	3371.0
alpha_rarefaction_1110360_3.txt	1110360	3	3500.0	3413.0
alpha_rarefaction_1110360_4.txt	1110360	4	3500.0	3379.0
alpha_rarefaction_1110360_5.txt	1110360	5	3500.0	3398.0
alpha_rarefaction_1110360_6.txt	1110360	6	3500.0	3398.0
alpha_rarefaction_1110360_7.txt	1110360	7	3500.0	3376.0
alpha_rarefaction_1110360_8.txt	1110360	8	3500.0	3382.0
alpha_rarefaction_1110360_9.txt	1110360	9	3500.0	3405.0
