# Constructed from biom file
#OTU ID	sample02	sample03
denovo10	2.0	6.0
denovo11	1.0	4.0
denovo15	1.0	4.0
denovo19	3.0	2.0
denovo27	7.0	5.0
denovo33	2.0	15.0
denovo34	5.0	5.0
denovo52	71.0	124.0
denovo60	6.0	11.0
denovo63	1.0	4.0
denovo68	1.0	2.0
denovo78	2.0	3.0
denovo97	6.0	11.0
denovo109	2.0	6.0
denovo114	45.0	38.0
denovo117	3.0	8.0
denovo168	6.0	13.0
denovo169	5.0	4.0
denovo176	7.0	7.0
denovo215	6.0	4.0
denovo216	6.0	11.0
denovo231	1.0	2.0
denovo250	3.0	1.0
denovo280	1.0	4.0
denovo306	6.0	5.0
denovo313	1.0	2.0
denovo315	1.0	2.0
denovo324	3.0	3.0
denovo345	2.0	1.0
denovo359	2.0	4.0
denovo403	1.0	3.0
denovo411	1.0	16.0
denovo452	2.0	1.0
denovo459	2.0	2.0
denovo474	1.0	6.0
denovo512	2.0	5.0
denovo536	5.0	8.0
denovo565	2.0	2.0
denovo574	2.0	4.0
denovo578	2.0	2.0
denovo589	2.0	1.0
denovo592	11.0	11.0
denovo605	74.0	127.0
denovo606	1.0	2.0
denovo612	1.0	3.0
denovo655	1.0	2.0
denovo672	1.0	3.0
denovo677	4.0	4.0
denovo689	5.0	8.0
denovo690	8.0	10.0
denovo793	3.0	7.0
denovo840	2.0	3.0
denovo841	3.0	1.0
denovo849	1.0	3.0
denovo880	2.0	3.0
denovo887	2.0	7.0
denovo903	12.0	16.0
denovo915	4.0	1.0
denovo935	2.0	3.0
denovo941	2.0	1.0
denovo948	2.0	1.0
denovo950	2.0	5.0
denovo979	1.0	2.0
denovo980	1.0	3.0
denovo995	319.0	275.0
denovo1000	3.0	3.0
denovo1004	3.0	1.0
denovo1076	1.0	3.0
denovo1104	7.0	7.0
denovo1136	3.0	2.0
denovo1138	2.0	1.0
denovo1144	2.0	1.0
denovo1155	2.0	2.0
denovo1162	7.0	7.0
denovo1194	1.0	2.0
denovo1196	2.0	2.0
denovo1256	1.0	2.0
denovo1269	1.0	2.0
denovo1270	2.0	12.0
denovo1284	12.0	6.0
denovo1287	1.0	5.0
denovo1312	7.0	4.0
denovo1319	18.0	7.0
denovo1329	5.0	18.0
denovo1347	6.0	12.0
denovo1376	4.0	2.0
denovo1409	2.0	2.0
denovo1413	2.0	1.0
denovo1458	8.0	12.0
denovo1468	2.0	3.0
denovo1483	26.0	43.0
denovo1491	12.0	9.0
denovo1493	5.0	5.0
denovo1525	1.0	5.0
denovo1546	2.0	2.0
denovo1547	12.0	32.0
denovo1551	19.0	20.0
denovo1553	1.0	2.0
denovo1555	5.0	5.0
denovo1566	1.0	2.0
denovo1606	10.0	7.0
denovo1628	1.0	2.0
denovo1632	2.0	1.0
denovo1640	3.0	5.0
denovo1667	3.0	8.0
denovo1690	4.0	5.0
denovo1693	21.0	13.0
denovo1743	2.0	2.0
denovo1763	1.0	2.0
denovo1775	1.0	2.0
denovo1812	1.0	2.0
denovo1850	1.0	2.0
denovo1858	4.0	6.0
denovo1872	1.0	2.0
denovo1913	1.0	2.0
denovo1930	4.0	1.0
denovo1934	14.0	16.0
denovo1939	1.0	2.0
denovo1956	9.0	18.0
denovo1984	21.0	45.0
denovo1998	2.0	2.0
denovo2023	2.0	11.0
denovo2032	3.0	11.0
denovo2033	2.0	1.0
denovo2037	4.0	1.0
denovo2053	3.0	1.0
denovo2074	2.0	2.0
denovo2119	3.0	1.0
denovo2140	2.0	2.0
denovo2143	2.0	3.0
denovo2152	4.0	4.0
denovo2171	6.0	3.0
denovo2198	1.0	2.0
denovo2200	3.0	5.0
denovo2204	4.0	4.0
denovo2205	2.0	5.0
denovo2212	1.0	9.0
denovo2214	8.0	6.0
denovo2248	5.0	7.0
denovo2251	2.0	2.0
denovo2253	1.0	4.0
denovo2271	5.0	7.0
denovo2276	3.0	5.0
denovo2293	16.0	12.0
denovo2301	2.0	3.0
denovo2306	4.0	4.0
denovo2314	3.0	3.0
denovo2324	1.0	2.0
denovo2338	4.0	1.0
denovo2340	3.0	8.0
denovo2344	2.0	2.0
denovo2368	1.0	5.0
denovo2370	2.0	3.0
denovo2387	3.0	5.0
denovo2403	4.0	3.0
denovo2431	5.0	2.0
denovo2434	1.0	4.0
denovo2442	11.0	23.0
denovo2468	5.0	9.0
denovo2493	13.0	4.0
denovo2516	21.0	31.0
denovo2523	4.0	3.0
denovo2525	2.0	3.0
denovo2566	16.0	25.0
denovo2596	9.0	18.0
denovo2600	1.0	4.0
denovo2611	3.0	3.0
denovo2612	2.0	3.0
denovo2614	6.0	3.0
denovo2622	1.0	4.0
denovo2630	10.0	13.0
denovo2636	3.0	11.0
denovo2638	9.0	4.0
denovo2641	2.0	2.0
denovo2646	1.0	3.0
denovo2654	2.0	4.0
denovo2660	17.0	15.0
denovo2661	3.0	2.0
denovo2676	2.0	3.0
denovo2679	1.0	3.0
denovo2688	35.0	58.0
denovo2718	9.0	13.0
denovo2724	1.0	3.0
denovo2754	1.0	3.0
denovo2766	1.0	2.0
denovo2769	3.0	3.0
denovo2771	3.0	2.0
denovo2783	1.0	8.0
denovo2816	7.0	3.0
denovo2818	2.0	3.0
denovo2835	2.0	2.0
denovo2838	1.0	2.0
denovo2851	1.0	5.0
denovo2856	7.0	4.0
denovo2883	3.0	2.0
denovo2889	1.0	2.0
denovo2903	1.0	3.0
denovo2918	1.0	2.0
denovo2950	3.0	8.0
denovo2975	1.0	7.0
denovo2998	1.0	2.0
denovo3000	1.0	5.0
denovo3019	4.0	14.0
denovo3032	2.0	2.0
denovo3059	4.0	2.0
denovo3060	1.0	2.0
denovo3074	2.0	1.0
denovo3089	2.0	3.0
denovo3114	2.0	4.0
denovo3146	1.0	8.0
denovo3172	1.0	3.0
denovo3177	2.0	1.0
denovo3188	6.0	1.0
denovo3202	3.0	2.0
denovo3236	1.0	2.0
denovo3246	1.0	3.0
denovo3259	2.0	10.0
denovo3261	1.0	3.0
denovo3266	4.0	13.0
denovo3271	2.0	1.0
denovo3322	9.0	27.0
denovo3333	7.0	11.0
denovo3354	1.0	3.0
denovo3364	2.0	13.0
denovo3374	4.0	13.0
denovo3392	15.0	22.0
denovo3395	2.0	1.0
denovo3397	8.0	6.0
denovo3416	1.0	3.0
denovo3448	11.0	7.0
denovo3490	3.0	2.0
denovo3504	23.0	33.0
denovo3531	1.0	2.0
denovo3538	2.0	2.0
denovo3542	9.0	10.0
denovo3545	2.0	1.0
denovo3552	1.0	4.0
denovo3558	1.0	2.0
denovo3583	1.0	2.0
denovo3595	1.0	4.0
denovo3623	3.0	2.0
denovo3637	19.0	17.0
denovo3640	2.0	7.0
denovo3653	2.0	3.0
denovo3664	2.0	1.0
denovo3670	3.0	4.0
denovo3689	3.0	4.0
denovo3693	2.0	8.0
denovo3704	2.0	1.0
denovo3707	3.0	1.0
denovo3709	10.0	20.0
denovo3733	3.0	6.0
denovo3741	2.0	7.0
denovo3751	4.0	3.0
denovo3763	7.0	187.0
denovo3769	20.0	29.0
denovo3777	20.0	27.0
denovo3778	3.0	4.0
denovo3786	2.0	5.0
denovo3788	1.0	6.0
denovo3799	4.0	9.0
denovo3801	1.0	2.0
denovo3807	2.0	2.0
denovo3832	1.0	148.0
denovo3842	5.0	2.0
denovo3848	2.0	1.0
denovo3861	2.0	2.0
denovo3865	1.0	3.0
denovo3896	65.0	56.0
denovo3921	3.0	1.0
denovo3934	3.0	10.0
denovo3960	3.0	5.0
denovo3963	4.0	5.0
denovo4003	1.0	2.0
denovo4019	2.0	1.0
denovo4029	58.0	85.0
denovo4051	6.0	9.0
denovo4054	1.0	5.0
denovo4063	2.0	7.0
denovo4095	5.0	3.0
denovo4102	3.0	2.0
denovo4111	4.0	6.0
denovo4122	2.0	2.0
denovo4125	3.0	3.0
denovo4145	3.0	3.0
denovo4147	2.0	1.0
denovo4151	1.0	2.0
denovo4165	1.0	2.0
denovo4222	8.0	28.0
denovo4235	2.0	2.0
denovo4250	10.0	2.0
denovo4275	4.0	6.0
denovo4297	5.0	6.0
denovo4298	1.0	3.0
denovo4299	2.0	2.0
denovo4306	6.0	4.0
denovo4307	7.0	4.0
denovo4362	4.0	6.0
denovo4380	1.0	2.0
denovo4390	1.0	2.0
denovo4399	8.0	13.0
denovo4415	2.0	2.0
denovo4433	7.0	7.0
denovo4438	5.0	4.0
denovo4445	2.0	3.0
denovo4466	1.0	4.0
denovo4485	4.0	1.0
denovo4507	7.0	12.0
denovo4526	1.0	10.0
denovo4549	7.0	3.0
denovo4556	47.0	50.0
denovo4577	5.0	2.0
denovo4588	1.0	2.0
denovo4591	1.0	2.0
denovo4602	13.0	15.0
denovo4631	7.0	12.0
denovo4655	1.0	2.0
denovo4672	3.0	5.0
denovo4686	2.0	4.0
denovo4689	2.0	1.0
denovo4719	7.0	13.0
denovo4745	4.0	4.0
denovo4746	2.0	1.0
denovo4747	1.0	2.0
denovo4756	1.0	3.0
denovo4780	1.0	3.0
denovo4798	2.0	1.0
denovo4832	3.0	1.0
denovo4852	3.0	3.0
denovo4858	6.0	11.0
denovo4868	2.0	3.0
denovo4871	4.0	5.0
denovo4872	2.0	2.0
denovo4889	1.0	2.0
denovo4906	2.0	5.0
denovo4910	7.0	13.0
denovo4933	4.0	2.0
denovo4941	2.0	2.0
denovo4972	4.0	3.0
denovo4985	1.0	2.0
denovo4992	6.0	14.0
denovo5025	1.0	2.0
denovo5033	7.0	3.0
denovo5039	2.0	4.0
denovo5070	1.0	2.0
denovo5072	3.0	6.0
denovo5074	4.0	3.0
denovo5077	2.0	2.0
denovo5103	3.0	3.0
denovo5115	1.0	3.0
denovo5181	2.0	2.0
denovo5206	8.0	9.0
denovo5210	6.0	5.0
denovo5214	4.0	12.0
denovo5217	4.0	4.0
denovo5222	2.0	1.0
denovo5223	158.0	179.0
denovo5234	4.0	10.0
denovo5236	15.0	17.0
denovo5254	5.0	4.0
denovo5272	1.0	2.0
denovo5278	9.0	10.0
denovo5281	1.0	3.0
denovo5299	3.0	5.0
denovo5320	2.0	19.0
denovo5336	5.0	6.0
denovo5348	1.0	4.0
denovo5390	2.0	1.0
denovo5397	1.0	2.0
denovo5410	2.0	3.0
denovo5411	3.0	4.0
denovo5412	4.0	1.0
denovo5414	3.0	2.0
denovo5415	3.0	1.0
denovo5425	2.0	1.0
denovo5432	2.0	2.0
denovo5441	44.0	49.0
denovo5443	2.0	1.0
denovo5456	4.0	4.0
denovo5462	8.0	1.0
denovo5470	4.0	2.0
denovo5476	3.0	6.0
denovo5484	3.0	1.0
denovo5497	4.0	6.0
denovo5502	27.0	30.0
denovo5514	3.0	1.0
denovo5530	10.0	20.0
denovo5538	1.0	2.0
denovo5544	1.0	3.0
denovo5553	2.0	2.0
denovo5587	5.0	1.0
denovo5588	1.0	14.0
denovo5597	2.0	2.0
denovo5609	1.0	2.0
denovo5614	2.0	4.0
denovo5623	2.0	2.0
denovo5629	28.0	24.0
denovo5673	7.0	9.0
denovo5677	1.0	5.0
denovo5680	3.0	2.0
denovo5689	90.0	109.0
denovo5711	10.0	14.0
denovo5775	8.0	5.0
denovo5780	1.0	3.0
denovo5795	1.0	7.0
denovo5796	4.0	23.0
denovo5803	4.0	5.0
denovo5810	12.0	6.0
denovo5812	1.0	2.0
denovo5835	2.0	1.0
denovo5868	13.0	17.0
denovo5884	3.0	2.0
denovo5909	1.0	3.0
denovo5932	8.0	1.0
denovo5938	1.0	4.0
denovo5951	1.0	4.0
denovo5959	4.0	4.0
denovo5964	5.0	3.0
denovo5970	2.0	1.0
denovo5974	4.0	1.0
denovo5977	6.0	1.0
denovo5989	1.0	2.0
denovo5990	2.0	1.0
denovo5998	2.0	2.0
denovo6030	2.0	3.0
denovo6035	1.0	2.0
denovo6049	9.0	6.0
denovo6055	5.0	3.0
denovo6071	34.0	64.0
denovo6084	6.0	2.0
denovo6091	5.0	15.0
denovo6101	1.0	4.0
denovo6123	16.0	18.0
denovo6127	1.0	2.0
denovo6129	5.0	14.0
denovo6133	17.0	10.0
denovo6136	101.0	67.0
denovo6142	23.0	981.0
denovo6146	2.0	1.0
denovo6163	7.0	2.0
denovo6190	4.0	3.0
denovo6199	1.0	5.0
denovo6251	1.0	3.0
denovo6282	1.0	12.0
denovo6292	143.0	291.0
denovo6294	1.0	4.0
denovo6310	160.0	191.0
denovo6313	23.0	8.0
denovo6343	2.0	2.0
denovo6344	3.0	2.0
denovo6389	2.0	1.0
denovo6390	2.0	1.0
denovo6414	1.0	3.0
denovo6422	2.0	3.0
denovo6446	4.0	10.0
denovo6452	2.0	2.0
denovo6464	4.0	1.0
denovo6495	1.0	3.0
denovo6496	17.0	38.0
denovo6503	1.0	3.0
denovo6515	1.0	6.0
denovo6520	3.0	2.0
denovo6529	3.0	1.0
denovo6536	2.0	1.0
denovo6556	5.0	8.0
denovo6559	3.0	8.0
denovo6566	11.0	8.0
denovo6606	7.0	6.0
denovo6630	13.0	13.0
denovo6645	99.0	37.0
denovo6647	1.0	3.0
denovo6672	2.0	1.0
denovo6681	7.0	16.0
denovo6682	4.0	3.0
denovo6688	5.0	8.0
denovo6715	2.0	1.0
denovo6716	1.0	2.0
denovo6738	1.0	2.0
denovo6747	1.0	2.0
denovo6798	3.0	4.0
denovo6799	12.0	6.0
denovo6818	21.0	22.0
denovo6823	1.0	3.0
denovo6824	1.0	2.0
denovo6845	2.0	1.0
denovo6871	3.0	1.0
denovo6893	3.0	4.0
denovo6899	2.0	1.0
denovo6907	9.0	5.0
denovo6913	1.0	2.0
denovo6932	2.0	2.0
denovo6935	3.0	5.0
denovo6943	2.0	4.0
denovo6944	6.0	1.0
denovo6948	4.0	3.0
denovo6949	1.0	2.0
denovo6964	7.0	9.0
denovo6979	3.0	1.0
denovo7010	9.0	23.0
denovo7016	1.0	4.0
denovo7029	4.0	6.0
denovo7041	2.0	5.0
denovo7046	3.0	6.0
denovo7048	1.0	3.0
denovo7062	2.0	2.0
denovo7063	3.0	3.0
denovo7075	1.0	8.0
denovo7120	2.0	6.0
denovo7125	4.0	10.0
denovo7132	57.0	92.0
denovo7137	3.0	5.0
denovo7179	1.0	2.0
denovo7186	2.0	2.0
denovo7201	4.0	1.0
denovo7217	5.0	2.0
denovo7241	1.0	2.0
denovo7245	1.0	2.0
denovo7246	3.0	4.0
denovo7249	196.0	176.0
denovo7264	2.0	1.0
denovo7277	5.0	2.0
denovo7303	3.0	2.0
denovo7315	1.0	6.0
denovo7316	9.0	9.0
denovo7330	2.0	2.0
denovo7368	1.0	2.0
denovo7414	1.0	7.0
denovo7421	6.0	1.0
denovo7452	2.0	2.0
denovo7485	5.0	7.0
denovo7498	22.0	12.0
denovo7503	19.0	30.0
denovo7523	10.0	23.0
denovo7551	90.0	85.0
denovo7555	7.0	10.0
denovo7592	4.0	9.0
denovo7624	2.0	12.0
denovo7627	5.0	2.0
denovo7641	5.0	6.0
denovo7647	1.0	4.0
denovo7663	3.0	8.0
denovo7667	2.0	2.0
denovo7681	3.0	8.0
denovo7694	1.0	3.0
denovo7766	4.0	5.0
denovo7771	1.0	3.0
denovo7776	11.0	13.0
denovo7805	4.0	4.0
denovo7818	2.0	1.0
denovo7854	1.0	3.0
denovo7883	7.0	13.0
denovo7884	1.0	39.0
denovo7916	3.0	7.0
denovo7923	5.0	2.0
denovo7943	1.0	2.0
denovo7971	1.0	2.0
denovo7972	2.0	7.0
denovo7986	1.0	4.0
denovo8014	2.0	13.0
denovo8019	9.0	11.0
denovo8021	1.0	3.0
denovo8041	3.0	2.0
denovo8086	3.0	9.0
denovo8137	15.0	4.0
denovo8145	5.0	5.0
denovo8171	9.0	83.0
denovo8181	3.0	5.0
denovo8190	8.0	15.0
denovo8211	24.0	27.0
denovo8212	4.0	5.0
denovo8218	3.0	1.0
denovo8227	5.0	8.0
denovo8235	3.0	2.0
denovo8249	3.0	4.0
denovo8256	22.0	39.0
denovo8257	2.0	6.0
denovo8269	19.0	7.0
denovo8272	1.0	2.0
denovo8309	1.0	2.0
denovo8330	4.0	3.0
denovo8345	42.0	39.0
denovo8377	3.0	1.0
denovo8386	36.0	22.0
denovo8399	1.0	4.0
denovo8400	1.0	3.0
denovo8412	2.0	1.0
denovo8414	50.0	45.0
denovo8426	3.0	2.0
denovo8457	1.0	5.0
denovo8460	2.0	1.0
denovo8463	5.0	1.0
denovo8467	20.0	36.0
denovo8476	1.0	3.0
denovo8487	2.0	1.0
denovo8490	1.0	3.0
denovo8535	1.0	3.0
denovo8542	4.0	7.0
denovo8589	3.0	1.0
denovo8593	6.0	7.0
denovo8626	2.0	3.0
denovo8662	7.0	6.0
denovo8666	1.0	11.0
denovo8690	3.0	1.0
denovo8707	1.0	2.0
denovo8721	2.0	3.0
denovo8731	1.0	2.0
denovo8741	1.0	2.0
denovo8759	1.0	2.0
denovo8768	18.0	14.0
denovo8774	66.0	43.0
denovo8782	1.0	3.0
